timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy
753664,600.855434533093,1.0,3.5692139,100.0,13.35277,-1.0,1.0532227,2.0,0.34068143,1.0084796,0.02593454,0.01916491,0.006769629,0.9750165
761856,593.026561509853,1.0,3.6699219,100.0,13.659459,-1.0,1.053833,2.0,0.34539017,1.0087402,0.026497032,0.019369617,0.0071274154,0.9547447
770048,594.1145651458929,1.0,3.4891357,100.0,13.174455,-1.0,1.0556641,2.0,0.33740905,1.0119331,0.026329283,0.019614406,0.006714877,0.9588995
778240,595.4964796981815,1.0,3.4296875,100.0,12.888094,-1.0,1.0550537,2.0,0.33732828,1.0111024,0.025435131,0.019166872,0.00626826,0.9816586
786432,614.8444472502752,1.0,3.4976807,100.0,13.204251,-1.0,1.0544434,2.0,0.33324102,1.0093029,0.025944538,0.0191794,0.0067651393,0.9877872
794624,596.5324113839667,1.0,3.5372314,100.0,13.317591,-1.0,1.0537109,2.0,0.3348214,1.0086616,0.025839113,0.01883724,0.007001873,0.9717269
802816,596.2722629037875,1.0,3.6051025,100.0,13.483385,-1.0,1.050415,2.0,0.3296428,1.0037776,0.023318622,0.017651366,0.0056672567,0.9901917
811008,588.3202636489328,1.0,3.5422363,100.0,13.368945,-1.0,1.0528564,2.0,0.33441022,1.0076879,0.026748272,0.021262452,0.0054858215,0.98604834
819200,592.4227138598056,1.0,3.624878,100.0,13.7075615,-1.0,1.0511475,2.0,0.33938444,1.0079254,0.026332539,0.020966833,0.0053657065,0.9704767
827392,593.5507826983674,1.0,3.5565186,100.0,13.47915,-1.0,1.0532227,2.0,0.34068143,1.0096533,0.026642028,0.019992992,0.0066490346,1.0163214
835584,592.2640039313115,1.0,3.565918,100.0,13.404604,-1.0,1.052124,2.0,0.33815458,1.0074482,0.026329797,0.018786903,0.0075428914,0.97522724
843776,588.7374586357811,1.0,3.6273193,100.0,13.643519,-1.0,1.0490723,2.0,0.3391512,1.0048313,0.026298515,0.018283553,0.008014962,1.0611292
851968,589.4720244157191,1.0,3.616211,100.0,13.58463,-1.0,1.0469971,2.0,0.33418986,1.0025386,0.024638874,0.018314812,0.0063240607,1.0176407
860160,611.2522281789921,1.0,3.491455,100.0,13.282699,-1.0,1.0474854,2.0,0.33557907,1.0050099,0.029791951,0.021966487,0.007825466,0.9106766
