timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
835584,551.4669054020816,1.0,6.720215,100.0,20.681305,-1.0,0.9863281,2.0,0.3477166,0.9227277,0.024732787,0.015899574,0.008833215,1.0745864,0.001708984375,0.052001953125
843776,555.7441212952159,1.0,6.6307373,100.0,20.509636,-1.0,0.9844971,2.0,0.3492163,0.9220312,0.024647936,0.01566259,0.008985349,1.0473359,0.002197265625,0.0511474609375
851968,556.5308332577195,1.0,6.4884033,100.0,20.231436,-1.0,0.9838867,2.0,0.34690896,0.9219542,0.022181042,0.013931138,0.008249905,1.030395,0.0018310546875,0.0504150390625
860160,555.0239592228094,1.0,6.5959473,100.0,20.472168,-1.0,0.9835205,2.0,0.34636348,0.92209756,0.023121893,0.014111591,0.009010304,0.9748876,0.0020751953125,0.0498046875
868352,537.8801769169626,1.0,6.4624023,100.0,20.243925,-1.0,0.9810791,2.0,0.3412672,0.9205359,0.023328785,0.0156743,0.0076544825,1.0500705,0.0023193359375,0.046630859375
876544,537.307222255322,1.0,6.431885,100.0,20.178503,-1.0,0.9802246,2.0,0.34353617,0.9206484,0.021825243,0.014636666,0.007188579,1.08891,0.0028076171875,0.0465087890625
884736,538.2029727670198,1.0,6.362671,100.0,19.970648,-1.0,0.9807129,2.0,0.34070963,0.91939425,0.025042342,0.015763339,0.0092790015,0.99657404,0.0029296875,0.045654296875
892928,540.6533566741269,1.0,6.6049805,100.0,20.409845,-1.0,0.9777832,2.0,0.34374225,0.91512746,0.022473477,0.014312149,0.008161325,1.0476203,0.0029296875,0.0452880859375
901120,550.0776048862376,1.0,6.6533203,100.0,20.534067,-1.0,0.97802734,2.0,0.343758,0.91587913,0.024529386,0.016790772,0.0077386154,1.0144346,0.0028076171875,0.0455322265625
909312,543.1240090381202,1.0,6.3724365,100.0,19.936836,-1.0,0.9827881,2.0,0.3424288,0.92085195,0.023060646,0.016971158,0.006089486,0.9797878,0.0029296875,0.0472412109375
917504,538.4081007782281,1.0,6.530884,100.0,20.344429,-1.0,0.9798584,2.0,0.34298152,0.9190431,0.021814335,0.01472353,0.0070908074,1.0607247,0.0029296875,0.0460205078125
925696,540.3231548319112,1.0,6.500122,100.0,20.255665,-1.0,0.98254395,2.0,0.34525657,0.9209713,0.022091627,0.015015004,0.007076624,0.99686086,0.0028076171875,0.0482177734375
933888,543.1052854599556,1.0,6.630615,100.0,20.542538,-1.0,0.9815674,2.0,0.34485203,0.9196799,0.020960301,0.015673356,0.0052869455,1.0300186,0.00244140625,0.0479736328125
942080,557.1237803399865,1.0,6.470459,100.0,20.253077,-1.0,0.98327637,2.0,0.3463518,0.9236967,0.025297556,0.016313788,0.008983765,1.0228848,0.0025634765625,0.0491943359375
950272,544.838640796106,1.0,6.225952,100.0,19.743221,-1.0,0.9864502,2.0,0.33829042,0.92638355,0.022686923,0.0163713,0.006315623,1.0558519,0.0023193359375,0.0482177734375
958464,553.4231498698535,1.0,6.286621,100.0,19.896997,-1.0,0.98547363,2.0,0.3382499,0.9263954,0.020298686,0.015304181,0.0049945056,1.0460274,0.00244140625,0.047607421875
966656,549.7091633695599,1.0,6.402954,100.0,20.116383,-1.0,0.98339844,2.0,0.34441382,0.9249618,0.020407075,0.015243456,0.0051636184,0.9748767,0.0025634765625,0.048583984375
974848,551.6730410006976,1.0,6.588623,100.0,20.478048,-1.0,0.98217773,2.0,0.34470707,0.9237305,0.020742666,0.013887012,0.0068556517,1.0674177,0.0025634765625,0.048095703125
983040,552.4293332112705,1.0,6.581909,100.0,20.487963,-1.0,0.9822998,2.0,0.34311613,0.92406297,0.020342905,0.0143471975,0.0059957085,1.0499736,0.0030517578125,0.047119140625
991232,552.1617371821892,1.0,6.593384,100.0,20.56239,-1.0,0.9824219,2.0,0.34330025,0.9246486,0.025520975,0.016308066,0.00921291,1.0292729,0.0032958984375,0.0469970703125
999424,545.3316386446971,1.0,6.481079,100.0,20.230467,-1.0,0.98095703,2.0,0.3421535,0.92213726,0.025731975,0.016035516,0.009696459,1.0148599,0.00341796875,0.0457763671875
